name,url,lat_lon,elevation,timezone
London,https://www.wunderground.com/history/daily/gb/london/EGLC,51.51N0.03E,6,Europe/London
NYC,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,40.76N73.86W,6,America/New_York
Atlanta,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL,33.64N84.41W,313,America/New_York
Seattle,https://www.wunderground.com/history/daily/us/wa/seatac/KSEA,47.44N122.3W,132,America/Los_Angeles
Dallas,https://www.wunderground.com/history/daily/us/tx/dallas/KDAL,32.85N96.87W,148,America/Chicago
Toronto,https://www.wunderground.com/history/daily/ca/mississauga/CYYZ,43.71N79.66W,173,America/Toronto
Seoul,https://www.wunderground.com/history/daily/kr/incheon/RKSI,37.49N126.49E,7,Asia/Seoul
BuenosAires,https://www.wunderground.com/history/daily/ar/ezeiza/SAEZ,34.79S58.52W,20,America/Argentina/Buenos_Aires
Ankara,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC,40.24N33.03E,953,Europe/Istanbul
Paris,https://www.wunderground.com/history/daily/fr/paris/LFPG,49.02N2.59E,119,Europe/Paris
Miami,https://www.wunderground.com/history/daily/us/fl/miami/KMIA,25.85N80.24W,3,America/New_York
SaoPaulo,https://www.wunderground.com/history/daily/br/guarulhos/SBGR,23.42S46.48W,750,America/Sao_Paulo
Chicago,https://www.wunderground.com/history/daily/us/il/chicago/KORD,41.98N87.91W,204,America/Chicago
